object_id,asset_name,asset_type
11686,S11686,"SNOW SALT SPREADER"
11687,S11687,"SNOW SALT SPREADER"
11688,S11688,"SNOW SALT SPREADER"
11689,S11689,"SNOW SALT SPREADER"
11691,S11691,"SNOW SALT SPREADER"
11692,S11692,"SNOW SALT SPREADER"
11693,S11693,"SNOW SALT SPREADER"
11695,S11695,"SNOW SALT SPREADER"
11696,S11696,"SNOW SALT SPREADER"
11697,S11697,"SNOW SALT SPREADER"
11700,S11700,"SNOW SALT SPREADER"
11701,S11701,"SNOW SALT SPREADER"
11702,S11702,"SNOW SALT SPREADER"
11703,S11703,"SNOW SALT SPREADER"
11704,S11704,"SNOW SALT SPREADER"
11705,S11705,"SNOW SALT SPREADER"
11706,S11706,"SNOW SALT SPREADER"
11707,S11707,"SNOW SALT SPREADER"
11708,S11708,"SNOW SALT SPREADER"
11709,S11709,"SNOW SALT SPREADER"
11710,S11710,"SNOW SALT SPREADER"
11711,S11711,"SNOW SALT SPREADER"
11712,S11712,"SNOW SALT SPREADER"
11713,S11713,"SNOW SALT SPREADER"
11714,S11714,"SNOW SALT SPREADER"
11715,S11715,"SNOW SALT SPREADER"
11716,S11716,"SNOW SALT SPREADER"
11717,S11717,"SNOW SALT SPREADER"
11718,S11718,"SNOW SALT SPREADER"
11719,S11719,"SNOW SALT SPREADER"
11720,S11720,"SNOW SALT SPREADER"
11721,S11721,"SNOW SALT SPREADER"
11722,S11722,"SNOW SALT SPREADER"
11723,S11723,"SNOW SALT SPREADER"
11724,S11724,"SNOW SALT SPREADER"
11725,S11725,"SNOW SALT SPREADER"
11726,S11726,"SNOW SALT SPREADER"
11727,S11727,"SNOW SALT SPREADER"
11728,S11728,"SNOW SALT SPREADER"
11730,S11730,"SNOW SALT SPREADER"
11731,S11731,"SNOW SALT SPREADER"
11732,S11732,"SNOW SALT SPREADER"
11733,S11733,"SNOW SALT SPREADER"
11734,S11734,"SNOW SALT SPREADER"
11735,S11735,"SNOW SALT SPREADER"
11736,S11736,"SNOW SALT SPREADER"
11737,S11737,"SNOW SALT SPREADER"
11738,S11738,"SNOW SALT SPREADER"
11739,S11739,"SNOW SALT SPREADER"
11740,S11740,"SNOW SALT SPREADER"
11741,S11741,"SNOW SALT SPREADER"
11742,S11742,"SNOW SALT SPREADER"
11743,S11743,"SNOW SALT SPREADER"
11745,S11745,"SNOW SALT SPREADER"
